,Neighborhood,Year Built,SalePrice,Formated Price
0,NAmes,1960,215000,"$215,000.00"
1,NAmes,1961,105000,"$105,000.00"
2,NAmes,1958,172000,"$172,000.00"
3,NAmes,1968,244000,"$244,000.00"
4,Gilbert,1997,189900,"$189,900.00"
5,Gilbert,1998,195500,"$195,500.00"
6,StoneBr,2001,213500,"$213,500.00"
7,StoneBr,1992,191500,"$191,500.00"
8,StoneBr,1995,236500,"$236,500.00"
9,Gilbert,1999,189000,"$189,000.00"
10,Gilbert,1993,175900,"$175,900.00"
11,Gilbert,1992,185000,"$185,000.00"
12,Gilbert,1998,180400,"$180,400.00"
13,Gilbert,1990,171500,"$171,500.00"
14,StoneBr,1985,212000,"$212,000.00"
15,StoneBr,2003,538000,"$538,000.00"
16,Gilbert,1988,164000,"$164,000.00"
17,StoneBr,2010,394432,"$394,432.00"
18,Gilbert,1951,141000,"$141,000.00"
19,NWAmes,1978,210000,"$210,000.00"
20,NWAmes,1977,190000,"$190,000.00"
21,NWAmes,1974,170000,"$170,000.00"
22,Somerst,2000,216000,"$216,000.00"
23,NAmes,1970,149000,"$149,000.00"
24,NAmes,1971,149900,"$149,900.00"
25,NAmes,1968,142000,"$142,000.00"
26,NAmes,1970,126000,"$126,000.00"
27,NAmes,1971,115000,"$115,000.00"
28,NAmes,1999,184000,"$184,000.00"
29,BrDale,1971,96000,"$96,000.00"
30,BrDale,1971,105500,"$105,500.00"
31,BrDale,1971,88000,"$88,000.00"
32,NPkVill,1977,127500,"$127,500.00"
33,NPkVill,1975,149900,"$149,900.00"
34,NPkVill,1975,120000,"$120,000.00"
35,NPkVill,1978,146000,"$146,000.00"
36,NridgHt,2009,376162,"$376,162.00"
37,NridgHt,2007,306000,"$306,000.00"
38,NridgHt,2009,395192,"$395,192.00"
39,NridgHt,2009,290941,"$290,941.00"
40,NridgHt,2005,220000,"$220,000.00"
41,NridgHt,2005,275000,"$275,000.00"
42,NridgHt,2005,259000,"$259,000.00"
43,NridgHt,2004,214000,"$214,000.00"
44,NridgHt,2009,611657,"$611,657.00"
45,NridgHt,2009,224000,"$224,000.00"
46,NridgHt,2003,500000,"$500,000.00"
47,NridgHt,2002,320000,"$320,000.00"
48,NridgHt,2005,319900,"$319,900.00"
49,NridgHt,2006,205000,"$205,000.00"
50,NridgHt,2003,175500,"$175,500.00"
51,Gilbert,2005,199500,"$199,500.00"
52,Blmngtn,2006,160000,"$160,000.00"
53,Blmngtn,2004,192000,"$192,000.00"
54,Gilbert,2004,184500,"$184,500.00"
55,Gilbert,2002,216500,"$216,500.00"
56,Gilbert,2004,185088,"$185,088.00"
57,Gilbert,2000,180000,"$180,000.00"
58,Gilbert,2001,222500,"$222,500.00"
59,NoRidge,1999,333168,"$333,168.00"
60,NoRidge,1998,355000,"$355,000.00"
61,NoRidge,1996,260400,"$260,400.00"
62,NoRidge,1994,325000,"$325,000.00"
63,NoRidge,1999,290000,"$290,000.00"
64,NoRidge,1998,221000,"$221,000.00"
65,NoRidge,1995,410000,"$410,000.00"
66,Somerst,2005,221500,"$221,500.00"
67,Somerst,2009,204500,"$204,500.00"
68,Somerst,2009,215200,"$215,200.00"
69,Somerst,2008,262500,"$262,500.00"
70,Somerst,2004,254900,"$254,900.00"
71,Somerst,2005,271500,"$271,500.00"
72,SawyerW,2004,233000,"$233,000.00"
73,SawyerW,2004,181000,"$181,000.00"
74,SawyerW,1994,205000,"$205,000.00"
75,SawyerW,1980,143000,"$143,000.00"
76,SawyerW,1992,189000,"$189,000.00"
77,SawyerW,1979,99500,"$99,500.00"
78,SawyerW,1984,125000,"$125,000.00"
79,SawyerW,1993,194500,"$194,500.00"
80,SawyerW,1984,152000,"$152,000.00"
81,SawyerW,1980,171000,"$171,000.00"
82,SawyerW,1920,67500,"$67,500.00"
83,Sawyer,1978,112000,"$112,000.00"
84,Sawyer,1961,148000,"$148,000.00"
85,Sawyer,1965,138500,"$138,500.00"
86,Sawyer,1967,122000,"$122,000.00"
87,Sawyer,1963,133000,"$133,000.00"
88,Sawyer,1962,127000,"$127,000.00"
89,Sawyer,1974,169000,"$169,000.00"
90,NoRidge,1992,190000,"$190,000.00"
91,NoRidge,1993,362500,"$362,500.00"
92,NoRidge,1992,285000,"$285,000.00"
93,Somerst,2004,260000,"$260,000.00"
94,Somerst,2004,190000,"$190,000.00"
95,Somerst,2004,155000,"$155,000.00"
96,Somerst,2004,151000,"$151,000.00"
97,Somerst,2004,149500,"$149,500.00"
98,Somerst,2005,152000,"$152,000.00"
99,Somerst,2009,222000,"$222,000.00"
100,Somerst,2000,177500,"$177,500.00"
101,Somerst,2000,177000,"$177,000.00"
102,Somerst,1999,155000,"$155,000.00"
103,Somerst,2003,147110,"$147,110.00"
104,Somerst,2010,267916,"$267,916.00"
105,Somerst,2000,254000,"$254,000.00"
106,Greens,1980,155000,"$155,000.00"
107,Greens,1978,206000,"$206,000.00"
108,Sawyer,1976,130500,"$130,500.00"
109,Somerst,2002,230000,"$230,000.00"
110,NWAmes,1967,218500,"$218,500.00"
111,NWAmes,1993,243500,"$243,500.00"
112,NWAmes,1977,205000,"$205,000.00"
113,NWAmes,1978,212500,"$212,500.00"
114,NWAmes,1988,196500,"$196,500.00"
115,NWAmes,1972,197500,"$197,500.00"
116,NWAmes,1971,171000,"$171,000.00"
117,NAmes,1966,142250,"$142,250.00"
118,NWAmes,1963,143000,"$143,000.00"
119,NAmes,1959,128950,"$128,950.00"
120,NAmes,1966,159000,"$159,000.00"
121,NAmes,1967,178900,"$178,900.00"
122,NAmes,1964,136300,"$136,300.00"
123,NAmes,1964,180500,"$180,500.00"
124,NAmes,1963,137500,"$137,500.00"
125,NAmes,1962,84900,"$84,900.00"
126,NAmes,1950,142125,"$142,125.00"
127,NAmes,1952,197600,"$197,600.00"
128,NAmes,1949,172500,"$172,500.00"
129,BrkSide,1958,116500,"$116,500.00"
130,BrkSide,1940,76500,"$76,500.00"
131,NAmes,1954,128000,"$128,000.00"
132,NAmes,1955,153000,"$153,000.00"
133,NAmes,1954,132000,"$132,000.00"
134,NAmes,1966,178000,"$178,000.00"
135,NAmes,1960,154300,"$154,300.00"
136,NAmes,1970,180000,"$180,000.00"
137,NAmes,1966,190000,"$190,000.00"
138,NAmes,1958,135000,"$135,000.00"
139,NAmes,2003,214000,"$214,000.00"
140,NAmes,1959,136000,"$136,000.00"
141,NAmes,1959,165500,"$165,500.00"
142,NAmes,1957,145000,"$145,000.00"
143,NAmes,1959,148000,"$148,000.00"
144,NAmes,1959,142000,"$142,000.00"
145,NAmes,1960,167500,"$167,500.00"
146,NAmes,1959,108538,"$108,538.00"
147,NAmes,1959,159500,"$159,500.00"
148,NAmes,1956,108000,"$108,000.00"
149,NAmes,1952,135000,"$135,000.00"
150,NAmes,1955,122500,"$122,500.00"
151,NAmes,1958,119000,"$119,000.00"
152,NAmes,1953,109000,"$109,000.00"
153,NAmes,1920,105000,"$105,000.00"
154,NAmes,1955,107500,"$107,500.00"
155,NAmes,1954,144900,"$144,900.00"
156,NAmes,1956,129000,"$129,000.00"
157,NAmes,1948,97500,"$97,500.00"
158,OldTown,1980,144000,"$144,000.00"
159,NAmes,1959,162000,"$162,000.00"
160,NAmes,1967,242000,"$242,000.00"
161,NAmes,1948,132000,"$132,000.00"
162,NAmes,1959,154000,"$154,000.00"
163,NAmes,1952,166000,"$166,000.00"
164,NAmes,1951,134800,"$134,800.00"
165,NAmes,1962,160000,"$160,000.00"
166,NAmes,1960,148000,"$148,000.00"
167,NAmes,1963,192000,"$192,000.00"
168,NAmes,1966,155000,"$155,000.00"
169,OldTown,1900,80400,"$80,400.00"
170,OldTown,1910,96500,"$96,500.00"
171,OldTown,1920,109500,"$109,500.00"
172,OldTown,1927,115000,"$115,000.00"
173,OldTown,1957,143000,"$143,000.00"
174,OldTown,1915,107400,"$107,400.00"
175,OldTown,1945,80000,"$80,000.00"
176,OldTown,1940,119000,"$119,000.00"
177,OldTown,1929,130000,"$130,000.00"
178,OldTown,1938,119000,"$119,000.00"
179,OldTown,1948,129000,"$129,000.00"
180,OldTown,1920,100000,"$100,000.00"
181,OldTown,1923,12789,"$12,789.00"
182,OldTown,1928,105900,"$105,900.00"
183,OldTown,1900,150000,"$150,000.00"
184,OldTown,1915,139000,"$139,000.00"
185,OldTown,1890,240000,"$240,000.00"
186,OldTown,1910,76500,"$76,500.00"
187,OldTown,1957,149700,"$149,700.00"
188,OldTown,1910,125500,"$125,500.00"
189,OldTown,1885,122500,"$122,500.00"
190,OldTown,1922,140750,"$140,750.00"
191,BrkSide,1950,128500,"$128,500.00"
192,BrkSide,1922,209500,"$209,500.00"
193,BrkSide,1925,87000,"$87,000.00"
194,BrkSide,1939,134000,"$134,000.00"
195,BrkSide,1940,128000,"$128,000.00"
196,BrkSide,1942,132000,"$132,000.00"
197,BrkSide,1948,139900,"$139,900.00"
198,BrkSide,1936,123900,"$123,900.00"
